Timestamp(ms),Current(uA),D0-D7
6670,15018.555,11111111
6680,15060.977,11111111
6690,15062.790,11111111
6700,15099.857,11111111
6710,15123.523,11111111
6720,15107.422,11111111
6730,15094.719,11111111
6740,15103.542,11111111
6750,15099.386,11111111
6760,15098.420,11111111
6770,15105.684,11111111
6780,15098.932,11111111
6790,15105.390,11111111
6800,15107.019,11111111
6810,15123.560,11111111
6820,15119.318,11111111
6830,15170.810,11111111
6840,15133.438,11111111
6850,14434.378,11111111
6860,14842.497,11111111
6870,15002.830,11111111
6880,15056.541,11111111
6890,15082.764,11111111
6900,15089.165,11111111
6910,15072.292,11111111
6920,15084.638,11111111
6930,15099.185,11111111
6940,15177.774,11111111
6950,15149.059,11111111
6960,15142.794,11111111
6970,15108.325,11111111
6980,15082.292,11111111
6990,15075.502,11111111
7000,15084.110,11111111
7010,15078.410,11111111
7020,15096.008,11111111
7030,15097.908,11111111
7040,15115.093,11111111
7050,14462.224,11111111
7060,14867.376,11111111
7070,15013.318,11111111
7080,15114.094,11111111
7090,15106.191,11111111
7100,15092.314,11111111
7110,15094.572,11111111
7120,15100.719,11111111
7130,15108.415,11111111
7140,15083.471,11111111
7150,15075.946,11111111
7160,15096.173,11111111
7170,15111.060,11111111
7180,15104.285,11111111
7190,15104.802,11111111
7200,15302.834,11111111
7210,15253.289,11111111
7220,15138.049,11111111
7230,15135.273,11111111
7240,15116.210,11111111
7250,14444.122,11111111
7260,14837.381,11111111
7270,14986.613,11111111
7280,15041.729,11111111
7290,15053.604,11111111
7300,15059.323,11111111
7310,15070.290,11111111
7320,15074.042,11111111
7330,15128.941,11111111
7340,15095.937,11111111
7350,15102.395,11111111
7360,15094.141,11111111
7370,15059.513,11111111
7380,15073.383,11111111
7390,15063.876,11111111
7400,15081.903,11111111
7410,15077.343,11111111
7420,15083.376,11111111
7430,15077.276,11111111
7440,15062.420,11111111
7450,14384.523,11111111
7460,13762.177,11111111
7470,13492.988,11111111
7480,13455.577,11111111
7490,11921.622,11111111
7500,11331.045,11111111
7510,11146.477,11111111
7520,11075.356,11111111
7530,11047.018,11111111
7540,11031.637,11111111
7550,11014.876,11111111
7560,11020.800,11111111
7570,11008.756,11111111
7580,11051.467,11111111
7590,11043.471,11111111
7600,11026.017,11111111
7610,11046.418,11111111
7620,11036.873,11111111
7630,11024.276,11111111
7640,11028.949,11111111
7650,11537.493,11111111
7660,12341.859,11111111
7670,12623.082,11111111
7680,12702.343,11111111
7690,12742.501,11111111
7700,12758.315,11111111
7710,12805.933,11111111
7720,12777.833,11111111
7730,12778.086,11111111
7740,12769.781,11111111
7750,12768.043,11111111
7760,12770.266,11111111
7770,12799.969,11111111
7780,12794.984,11111111
7790,12760.764,11111111
7800,12762.874,11111111
7810,12766.354,11111111
7820,12778.908,11111111
7830,12822.867,11111111
7840,12811.921,11111111
7850,12320.751,11111111
7860,12604.149,11111111
7870,12724.410,11111111
7880,12749.093,11111111
7890,12762.659,11111111
7900,12750.851,11111111
7910,12761.677,11111111
7920,12778.486,11111111
7930,12756.210,11111111
7940,12739.459,11111111
7950,12761.498,11111111
7960,12805.050,11111111
7970,12797.051,11111111
7980,12782.184,11111111
7990,12765.700,11111111
8000,12780.479,11111111
8010,12773.543,11111111
8020,12764.195,11111111
8030,12781.426,11111111
8040,12782.293,11111111
8050,12302.434,11111111
8060,12592.827,11111111
8070,12723.824,11111111
8080,12803.373,11111111
8090,12777.820,11111111
8100,12765.241,11111111
8110,12770.043,11111111
8120,12766.839,11111111
8130,12770.568,11111111
8140,12787.984,11111111
8150,12774.460,11111111
8160,12768.630,11111111
8170,12772.019,11111111
8180,12800.633,11111111
8190,12783.979,11111111
8200,13005.618,11111111
8210,12937.630,11111111
8220,12831.619,11111111
8230,12815.145,11111111
8240,12802.128,11111111
8250,12285.157,11111111
8260,12601.925,11111111
8270,12722.784,11111111
8280,12740.233,11111111
8290,12752.752,11111111
8300,12781.061,11111111
8310,12767.255,11111111
8320,12776.311,11111111
8330,12839.391,11111111
8340,12784.844,11111111
8350,12766.213,11111111
8360,12769.720,11111111
8370,12765.489,11111111
8380,12779.482,11111111
8390,12761.848,11111111
8400,12747.398,11111111
8410,12774.023,11111111
8420,12768.673,11111111
8430,12758.386,11111111
8440,12784.610,11111111
8450,12277.487,11111111
8460,12594.250,11111111
8470,12683.224,11111111
8480,13002.715,11111111
8490,14310.639,11111111
8500,14797.271,11111111
8510,14963.116,11111111
8520,15036.652,11111111
8530,15057.138,11111111
8540,15068.954,11111111
8550,15085.026,11111111
8560,15076.520,11111111
8570,15089.574,11111111
8580,15155.995,11111111
8590,15131.284,11111111
8600,15101.794,11111111
8610,15083.008,11111111
8620,15073.377,11111111
8630,15065.798,11111111
8640,15089.468,11111111
8650,14170.041,11111111
8660,13653.841,11111111
8670,13449.123,11111111
8680,13393.980,11111111
8690,13370.457,11111111
8700,13353.472,11111111
8710,13374.110,11111111
8720,13381.144,11111111
8730,13362.317,11111111
8740,13361.270,11111111
8750,13351.136,11111111
8760,13343.613,11111111
8770,13325.114,11111111
8780,13338.244,11111111
8790,13322.353,11111111
8800,13328.129,11111111
8810,13339.798,11111111
8820,13342.586,11111111
8830,13377.867,11111111
8840,13359.330,11111111
8850,13983.285,11111111
8860,14698.038,11111111
8870,14942.904,11111111
8880,15039.165,11111111
8890,15089.139,11111111
8900,15083.133,11111111
8910,15085.130,11111111
8920,15100.243,11111111
8930,15093.451,11111111
8940,15098.519,11111111
8950,15100.533,11111111
8960,15139.724,11111111
8970,15106.289,11111111
8980,15116.397,11111111
8990,15095.470,11111111
9000,15136.094,11111111
9010,15123.822,11111111
9020,15116.416,11111111
9030,15123.272,11111111
9040,15139.910,11111111
9050,14690.005,11111111
9060,14941.770,11111111
9070,15034.398,11111111
9080,15142.973,11111111
9090,15098.159,11111111
9100,15107.367,11111111
9110,15085.396,11111111
9120,15102.290,11111111
9130,15118.718,11111111
9140,15112.233,11111111
9150,15093.788,11111111
9160,15110.311,11111111
9170,15098.519,11111111
9180,15128.886,11111111
9190,15116.421,11111111
9200,15318.920,11111111
9210,15261.920,11111111
9220,15171.247,11111111
9230,15139.126,11111111
9240,15136.313,11111111
9250,14673.018,11111111
9260,14928.997,11111111
9270,15044.120,11111111
9280,15093.470,11111111
9290,15104.639,11111111
9300,15126.223,11111111
9310,15108.911,11111111
9320,15100.441,11111111
9330,15160.272,11111111
9340,15131.554,11111111
9350,15121.117,11111111
9360,15098.688,11111111
9370,15074.353,11111111
9380,15095.715,11111111
9390,15108.809,11111111
9400,15092.875,11111111
9410,15120.797,11111111
9420,15113.908,11111111
9430,15095.414,11111111
9440,15106.149,11111111
9450,14655.893,11111111
9460,14965.229,11111111
9470,15048.829,11111111
9480,15123.980,11111111
9490,13629.998,11111111
9500,13076.975,11111111
9510,12877.532,11111111
9520,12805.226,11111111
9530,12798.823,11111111
9540,12780.710,11111111
9550,12769.616,11111111
9560,12768.123,11111111
9570,12749.421,11111111
9580,12817.297,11111111
9590,12783.388,11111111
9600,12761.607,11111111
9610,12761.909,11111111
9620,12765.231,11111111
9630,12761.479,11111111
9640,12763.343,11111111
9650,12320.338,11111111
9660,12583.505,11111111
9670,12692.358,11111111
9680,12724.848,11111111
9690,12730.903,11111111
9700,12745.741,11111111
9710,12782.397,11111111
9720,12752.618,11111111
9730,12756.262,11111111
9740,12733.755,11111111
9750,12729.258,11111111
9760,12726.486,11111111
9770,12736.195,11111111
9780,12718.479,11111111
9790,12732.483,11111111
9800,12741.731,11111111
9810,12753.452,11111111
9820,12789.323,11111111
9830,12817.935,11111111
9840,12762.109,11111111
9850,11750.491,11111111
9860,11308.427,11111111
9870,11133.697,11111111
9880,11073.534,11111111
9890,11053.184,11111111
9900,11040.562,11111111
9910,11034.147,11111111
9920,11043.949,11111111
9930,11034.092,11111111
9940,11032.059,11111111
9950,11031.646,11111111
9960,11076.131,11111111
9970,11043.240,11111111
9980,11041.447,11111111
9990,11036.495,11111111
10000,11039.520,11111111
10010,11015.730,11111111
10020,11034.520,11111111
10030,11041.663,11111111
10040,11034.248,11111111
10050,11790.013,11111111
10060,12404.597,11111111
10070,12627.401,11111111
10080,12749.729,11111111
10090,12758.061,11111111
10100,12759.679,11111111
10110,12761.519,11111111
10120,12799.477,11111111
10130,12754.299,11111111
10140,12764.379,11111111
10150,12743.428,11111111
10160,12746.620,11111111
10170,12752.567,11111111
10180,12768.421,11111111
10190,12754.450,11111111
10200,12958.943,11111111
10210,12907.866,11111111
10220,12814.659,11111111
10230,12827.629,11111111
10240,12684.536,11111111
10250,12384.605,11111111
10260,12602.641,11111111
10270,12696.936,11111111
10280,12727.692,11111111
10290,12731.067,11111111
10300,12737.657,11111111
10310,12756.369,11111111
10320,12766.257,11111111
10330,12818.950,11111111
10340,12794.284,11111111
10350,12768.505,11111111
10360,12760.834,11111111
10370,12767.366,11111111
10380,12762.810,11111111
10390,12771.930,11111111
10400,12774.230,11111111
10410,12769.660,11111111
10420,12757.417,11111111
10430,12769.249,11111111
10440,12669.429,11111111
10450,12382.231,11111111
10460,12661.377,11111111
10470,12733.527,11111111
10480,13050.181,11111111
10490,14340.555,11111111
10500,14820.765,11111111
10510,14989.018,11111111
10520,15070.684,11111111
10530,15116.200,11111111
10540,15114.094,11111111
10550,15086.220,11111111
10560,15102.694,11111111
10570,15104.809,11111111
10580,15155.470,11111111
10590,15118.288,11111111
10600,15087.911,11111111
10610,15091.265,11111111
10620,15099.587,11111111
10630,15091.694,11111111
10640,15008.219,11111111
10650,14704.288,11111111
10660,14940.978,11111111
10670,15033.334,11111111
10680,15067.632,11111111
10690,15079.038,11111111
10700,15089.141,11111111
10710,15139.928,11111111
10720,15109.513,11111111
10730,15093.947,11111111
10740,15109.700,11111111
10750,15083.039,11111111
10760,15096.423,11111111
10770,15094.871,11111111
10780,15076.604,11111111
10790,15077.375,11111111
10800,15095.207,11111111
10810,15093.357,11111111
10820,15093.368,11111111
10830,15159.238,11111111
10840,15025.816,11111111
10850,14717.775,11111111
10860,14929.713,11111111
10870,15024.349,11111111
10880,15049.965,11111111
10890,15085.458,11111111
10900,15092.000,11111111
10910,15071.372,11111111
10920,15076.565,11111111
10930,15082.087,11111111
10940,15128.615,11111111
10950,15101.832,11111111
10960,15118.930,11111111
10970,15077.462,11111111
10980,15084.274,11111111
10990,15088.557,11111111
11000,15094.122,11111111
11010,15089.785,11111111
11020,15094.386,11111111
11030,15097.750,11111111
11040,15024.710,11111111
11050,14078.092,11111111
11060,13657.299,11111111
11070,13488.888,11111111
11080,13478.909,11111111
11090,13426.144,11111111
11100,13385.431,11111111
11110,13372.351,11111111
11120,13373.722,11111111
11130,13375.824,11111111
11140,13371.371,11111111
11150,13378.847,11111111
11160,13379.813,11111111
11170,13386.729,11111111
11180,13382.659,11111111
11190,13378.461,11111111
11200,13566.209,11111111
11210,13515.974,11111111
11220,13426.608,11111111
11230,13396.401,11111111
11240,13399.476,11111111
11250,14098.319,11111111
11260,14401.594,11111111
11270,13765.491,11111111
11280,13525.233,11111111
11290,13406.933,11111111
11300,13378.947,11111111
11310,13378.610,11111111
11320,13389.844,11111111
11330,13437.769,11111111
11340,13400.911,11111111
11350,13401.267,11111111
11360,13406.405,11111111
11370,13393.582,11111111
11380,13390.019,11111111
11390,13384.571,11111111
11400,13383.107,11111111
11410,13383.335,11111111
11420,13403.524,11111111
11430,13371.914,11111111
11440,13390.578,11111111
11450,13387.707,11111111
11460,13470.813,11111111
11470,14120.386,11111111
11480,14465.783,11111111
11490,12318.804,11111111
11500,11542.561,11111111
11510,11243.518,11111111
11520,11142.074,11111111
11530,11088.596,11111111
11540,11069.525,11111111
11550,11065.423,11111111
11560,11072.787,11111111
11570,11054.987,11111111
11580,11100.928,11111111
11590,11066.674,11111111
11600,11049.654,11111111
11610,11041.709,11111111
11620,11044.566,11111111
11630,11058.409,11111111
11640,11081.453,11111111
11650,11081.997,11111111
11660,11068.627,11111111
