Timestamp(ms),Current(uA)
12870,13630.232
12880,13486.899
12890,13928.140
12900,14661.050
12910,14970.557
12920,15053.386
12930,15118.832
12940,15141.567
12950,15154.166
12960,15165.357
12970,15184.192
12980,15193.680
12990,15270.116
13000,15286.520
13010,15271.474
13020,15248.083
13030,15246.113
13040,15224.299
13050,15221.479
13060,15222.868
13070,15222.800
13080,15221.025
13090,14736.648
13100,15033.752
13110,15163.348
13120,15216.403
13130,15229.436
13140,15209.595
13150,15344.735
13160,13776.420
13170,13158.033
13180,12918.189
13190,12844.633
13200,12815.804
13210,12810.535
13220,12819.314
13230,12815.456
13240,12847.721
13250,12842.482
13260,12818.200
13270,12828.125
13280,12812.014
13290,12288.627
13300,12573.750
13310,12683.308
13320,12710.229
13330,12721.823
13340,12718.996
13350,12724.793
13360,12709.184
13370,12753.835
13380,12713.132
13390,12727.055
13400,12712.355
13410,12712.753
13420,12706.748
13430,12687.718
13440,12688.660
13450,12706.759
13460,12711.574
13470,12709.202
13480,12702.925
13490,12257.711
13500,12529.496
13510,12607.342
13520,12639.855
13530,12670.527
13540,12677.420
13550,12682.403
13560,12675.297
13570,12662.979
13580,12669.338
13590,12663.122
13600,12663.512
13610,12675.587
13620,12703.530
13630,12679.388
13640,12673.990
13650,12658.524
13660,12651.431
13670,12667.239
13680,12657.244
13690,12147.751
13700,12469.696
13710,12599.413
13720,12623.226
13730,12611.458
13740,12679.462
13750,12665.082
13760,12660.743
13770,12659.379
13780,12655.721
13790,12650.449
13800,12682.044
13810,12672.527
13820,12651.736
13830,12649.623
13840,12645.967
13850,12639.636
13860,12792.610
13870,12847.739
13880,12694.123
13890,11714.831
13900,11289.384
13910,11047.881
13920,10969.023
13930,10935.573
13940,10904.938
13950,10906.135
13960,10903.769
13970,10898.739
13980,10889.500
13990,10932.622
14000,10920.160
14010,10917.409
14020,10903.688
14030,10895.824
14040,10922.824
14050,10896.385
14060,10892.361
14070,10901.310
14080,10904.636
14090,11371.977
14100,12185.174
14110,12494.945
14120,12620.350
14130,12640.286
14140,12647.186
14150,12782.404
14160,14190.402
14170,14693.404
14180,14886.991
14190,14966.926
14200,14987.258
14210,14994.929
14220,14981.341
14230,14982.339
14240,15041.009
14250,15029.276
14260,15012.552
14270,15015.723
14280,15034.372
14290,14545.593
14300,14860.710
14310,15013.219
14320,15042.540
14330,15056.519
14340,15064.195
14350,15062.862
14360,15061.055
14370,15118.295
14380,15077.278
14390,15057.857
14400,15042.818
14410,15037.991
14420,15038.449
14430,15037.294
14440,15039.610
14450,15017.940
14460,15025.990
14470,15033.551
14480,15028.500
14490,14563.026
14500,14873.707
14510,14991.830
14520,15028.073
14530,15020.161
14540,15015.479
14550,15042.086
14560,15046.874
14570,15029.566
14580,15031.780
14590,15034.758
14600,15014.885
14610,15040.799
14620,15088.614
14630,15066.431
14640,15041.741
14650,15054.303
14660,15046.150
14670,15027.470
14680,15026.204
14690,14529.350
14700,14854.383
14710,14995.650
14720,15043.527
14730,15035.118
